Internexa|28032 18678 262195
Braslink Network / Ultranet Telecom|52640 20406
BIX.BG Ltd|47697 15669
Nasstar Plc|41393 60648 39179
S.J.M. Steffann|203993 57771
FCCN|12833 1930
West|262330 28255
MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.|8657 3243
First Colo GmbH|44066 203833
Blackboard Inc|56065 35156 22556 133487
Hostopia Inc. a Deluxe Company|14116 9115 30447
BKNIX|63528 63529
ANEXIA Internetdienstleistungs GmbH|42388 42473 47147 51453
Internet Initiative Japan Inc. (IIJ)|2497 59258 61215
Digital Energy Technologies Limited|61440 61317 37692
CoreSite|32184 19996 2734
Amazon.com|16509 38895
Stockholm Internet eXchange AB|33886 57151
Amsterdam Internet Exchange BV|1200 58560 6777 62972 52462
Campaign Monitor|133873 55819
Crosspoint Telecom|135014 58473
AZISTA GmbH|47592 25101 20751
Mongolia Telecom|56301 9934
PT. Hipernet Indodata|38758 55658
Netwurx|26785 19365
Belgacom International Carrier Services SA|6774 5560
ROSNIIROS Russian Institute for Public Networks|42385 15835
Trans Hybrid Communication|24534 63516
Supply Frame, Inc.|205811 201834 62698
Sikka Broadband Pvt. Ltd.|132519 45942 132971
Cámara Argentina de Internet (CABASE)|61504 61441 61505 52294 52359 52360 61520 61521 52370 52500 52374 52375 52376 52508 52509 52324 64103 64104 52332 61552 11058 52403 61555 52404 61494 61495
Oracle Corporation|7160 15179
Megaport|9033 395081 63832 64216 59899 64219 64220 58941 132863 58942 64222 58943 63839
IGT|48768 61315 35574
Etihad Etisalat (Mobily)|35819 48237
META10 AG|25435 205357
UNIFI-IX|207009 206495
CJ HelloVision|9697 9698 38120 17577 38121 18313 9770 10155 38091 38669 18318 17839 17586 10066 10037 45365 9845 17598
NXO France|29092 199483
Internet Systems Consortium, Inc.|1280 393221 61447 27916 55439 55440 52243 33558 28054 23707 23708 23709 23710 23711 23712 23713 45220 58406 38568 30122 30123 30124 30125 30126 30127 33071 33072 30128 33073 30129 33074 30130 33075 30131 30132 33076 30133 33077 33078 27318 30134 33079 27319 27320 33080 33081 27321 33082 27322 52289 27848 394070 27859 53459 395217 25572 3557 24047 24048 24049 24050 24051
China Mobile International|9808 58453
China Telecom / CN2|4134 4809
COLT Technology Services Group Limited|10021 8220
Japan Registry Services Co., Ltd.|18149 24252 23774
Unilogic Networks B.V.|28788 41241
INEX|2128 43760
Magyar Telekom plc.|8579 5483
Groupon, Inc.|12269 198908
NovoServe|21159 24875
Telefonica Germany GmbH & Co. OHG|13184 6805
Viatel Ltd|31458 31122
C-LIGUE TELECOMUNICAÇOES LTDA|262743 263969
Terra|40260 11706
Ecoband Ltd|327814 24890
ACEM TELECOM|263925 52770 262429
Virtustream|64208 6812 22591
PT. Cyberindo Aditama (CBN Internet)|4787 135478
Group One Consulting, Inc.|63425 394767
LOQAL AS|25400 41164 47853 49455 51135
Singapore Internet Exchange (SGIX)|132696 55518
Zendesk, Inc.|61186 21880
schallert.com e.U.|49432 205804
Netnod Internet Exchange i Sverige AB|39840 8674 52005 39870 39871
Interlink SRL|10697 264797
Armenian internet traffic exchange 'Armix' foundation|51225 16190 50623
Cellco Partnership DBA Verizon Wireless|6167 22394
Telephonic Communications Inc|395766 395152 393755
TCC Technology Co., Ltd|45667 58430 17887
Starhub|4657 9874 55430 38861
Facebook|32934 63293
Telepacific Wireless , Inc. (formerly Covad Wireless).|16467 7829
CORPORACION NACIONAL DE TELECOMUNICACIONES CNT EP|27968 14420 26613 27948 27757
SFMIX|12276 63055
Liberia IX|37715 327887
Horyzont Technologie Internetowe sp.z.o.o.|44896 20552
LINKEY|13002 61327
LTY CONNECT|394144 205758
Faelix Limited|41495 206202
Go Plc.|15735 5532
FICIX Ry|60116 41194
Charter Communications, Inc.|20001 11426 7843 11427 10796 12271 20115 33363 33588 11351
SupraNet Communications, Inc.|5683 4150
Freecomm Corporation|63928 24427
LLC Dataline|203921 49063
Persona Communications|23184 32233
SAKURA Internet Inc.|9370 9371
Hostlocation LTDA|28666 53231
BytesNET|37253 37525
REDE IDL NET|61588 262971
PrimeXM|199188 40809
HOSTLINE, UAB|43700 198651
CS LoxInfo Plc.|7568 45265
ICANN|40528 16876
Root Networks, LLC|135147 396076
Brno University of Technology|197451 201263
GMO Internet, Inc.|7506 58786 131392 59349 58791 135161
Cologix, Inc.|46672 8001 46366
CONSOLIDATED TELEPHONE COMPANY|64227 20283
SIM Telecom|263998 26622
Garra Telecom Ltda|262598 61851
NIX.CZ|47200 6881 47627
Yahoo Japan|4694 23816 24572
Global Net Access|27413 3595
NAP Info Lintas Nusa|55818 45147
Conversant, LLC|41041 25751
Macau CTM|4609 7617
Stowarzyszenie na Rzecz Rozwoju Spoleczenstwa Informacyjnego e-Poludnie|201054 201053
CNTI|20312 27807
Nine Internet Solutions AG|29691 203340
Elisa Oyj|6667 719
Private Enterprise "Law Firm "Status"|8695 25482
Tele2 Kazakhstan|29555 48503
Dhecyber Flow Indonesia|24195 63502
Redcentric PLC|5552 13009 8419 31640
DNS Belgium VZW|199670 21239
web2objects GmbH|62874 50495
Chief Telecom Inc.|17408 10133 9831
Jacob Slater|203729 42615
SpotXchange, Inc|132134 35220 62693 11742
FRANCE TELEVISIONS SA|43930 24843
Virtela Technology Services Inc.|39115 24216 19803 19804 46108 19806 19807 19808 38304 19809 19810 24486 37991 24232 35953 18484 18485 18486 24118 18487 18488 42808 18489 18490 18491
Bitskin GmbH|200921 205038
National Informatics Centre|55824 4758 55847 9885
MaxPoint Interactive|202197 393565
Canadian Internet Registration Authority - .CA Registry|27299 394354 55195
Sistema Shyam Teleservice Ltd|131222 63829
Ava Telecomunicações LTDA|52840 265292
Truespeed Internet Services|16414 53791
LINX|5459 8714 21919
VIZAG BROADCASTING COMPANY PVT. LTD|136715 133593
UAB "Baltnetos komunikacijos"|15440 42549 8486
Zscaler, Inc.|53813 22616 62044
FIXITY LLC|60092 31308
WATCH TOWER BIBLE AND TRACT SOCIETY|61266 28466 55891 62244 327889 52887 51752 54235 9454 40335
Radiant Communications|21724 15247
Esgob|60035 60036
Orange Business Services|4004 4805 6853 2854 6505 10282 5583 8338 2647 2874 51964 4862
WDS TELECOM LTDA. ME|262976 61583
H5 Data Centers|63252 20029
Chevron|7862 62926
Intercloud|134197 62602 197981 29326
CIGNA|13348 11406
LeaseWeb USA, Inc.|7203 30633 394380
Threshold Communications, Inc|54688 7752 14939
REGISTRO .IT|197440 2597
Telikom PNG Ltd|135571 17828
Broadwave, LLC|17303 62622
University of Montenegro|200608 40981
Liberty Global|59776 5089 9143 31079 20825 29562 6830
NIC.br|263044 11752 12136 14026 53035 61580 61455 26162 22548 11284 20121 10906 14650 11644
Novatel EOOD|41313 41059
NeuStyle|4508 395080
PlusServer GmbH|61157 8972
Advania ehf|30818 44515 50613
AgniCorp Inc.|32710 16570
University of Technology and Life Sciences Bydgoszcz|8326 12618
CentralNic Ltd|199330 201303 204055 60890 203961 201304 42044
Ting Fiber Inc.|394308 394497
Pakistan Telecommunication LTD (PTCL)|17557 45595
The Chinese University of Hong Kong|4641 3661
Ashgoal Limited|200623 64415
DoD Network Information Center|5189 616 3529
Bit-isle Equinix Inc.|17941 23637
Verizon Communications, Inc.|6066 14551 23148 2828 701 702 703
NZIX ExchangeNET|24388 9560
IP-Only|16150 12552
ISOCEL SA|37090 327818
TVCOM Ltd.|57033 34092 60860
The Cloud Networks Germany GmbH|42390 20830
Inabox Group / Telcoinabox|24500 45510
Wipronet|36953 37596
VeriSign|7342 26415
Reliance Jio Infocomm Ltd|64049 55836
Asteroid International B.V.|59964 41693
Six Degrees Group|20547 25588 6908
Chaos Computer Club e.V.|50472 13020
DigitalOcean|202018 200130 62567 393406 394362 46652 14061 201229 202109 135340 133165
TasmaNet Pty Ltd|56133 45158
RIPE NCC|25152 3333 197000 12654
Connexity, Inc.|49819 14332
Magna International Inc.|26838 42587
WIIT S.p.a.|16210 20707
Sunrise Communications AG|5426 6730 9214
FairPoint Communications|13977 14671 12175
A2B Internet|51088 61180
Groupe Oceanet Technology|35152 60199 51335 200411 20926 199565
S-NET Sp. z o.o.|61158 42927
TelePacific Communications|14265 11915
Liquid Telecommunications|30969 30844
Leaseweb Asia Pacific pte. ltd.|59253 133752
TekSavvy Solutions Inc.|20375 5645
NetActuate, Inc|36236 13647
Telia Carrier|12929 1299 3308
Association for the development of the information society "e-South" (EPIX)|48850 50607
iWelt AG|29624 13289
Safehouse Cloud PTE LTD|135027 64094
G3 Comms Ltd|132865 198781
eNetworks Pty Ltd|37394 32653
MaximaTelecom JSC|52060 202173
McAfee Germany GmbH|205272 203724
NL-ix|34307 43339
VETORIALNET INFORMÁTICA E SERVIÇOS DE INTERNET EIRELI – EPP|53066 264015
Axtel, S.A.B. de C.V.|11172 6503
Shopify, Inc|63408 62679
Equinix|27330 32323 9989 23686 16397 47886 14609 15830 27224 19930 17819 24989 24990 42910 26592 8545 34209 29154 32550 35054 27566 16243 24115 12085 15734 24121 21371 394749 54588 29884
Arnes|51988 2107
JSC Ufanet|59712 41704 57128 24955 47775 60095
Videotron Ltd|13571 5769
Sandro Bolliger|12307 21124
THALES AVIONICS|394771 203482
Booking.com|202196 43996
NIXWAY SRL|62305 47915
Dow Jones & Company, Inc.|7105 15951
ARPCE|37481 37548
SwissIX Internet Exchange|20612 42476
Hoffmann - La Roche Ltd.|10725 18535 47340 2047
NSOF Networks Ltd|136473 43181 64269
TPnets.com Sp. z o.o.|35491 205082
TECHAVENUE GROUP|55799 45785 134520 63916
Safelink Internet|394100 32444 33037 55262
Critical Hub Networks, Inc.|5704 23114
DENIC eG|31529 8763
Jastel Network&TripleT Internet|45629 45758
Positive Internet USA|46130 21260
Tejays Dynamic Ltd.|55507 135694
Oz Servers Pty Ltd|23670 45261
Republican Unitary Enterprise "National Traffic Exchange Center"|60280 35647
SuperNetwork s.r.o.|39392 60068
DevCapsule Ltd|48646 9178
KINX|17604 9957
Webair|20264 27257 36057
e-tera|57633 39473
TripAdvisor LLC|60038 32286
Sejong Telecom|9848 4670
AFNIC|2484 2485 2486
Amaysim Australia Limited|136019 133425
VELOSTAR|263190 263704
SysEleven GmbH|49130 25291
iomart Hosting Limited|25108 11352 29131 20860 35662
Data Facilities|49917 56941
GNC-Alfa CJSC|196709 49800 6682
Singtel Optus|7474 4804
Montana Opticom LLC|11924 22485
TIVIT|18836 263071 16685 262475
LeaseWeb Netherlands B.V.|205025 205544 60781
Uncommon Technology Incorporated|4874 27372 27359 27599
alibaba|37963 45102
Yatanarpon Teleport Company Limited|131322 18399
PT Jembatan Citra Nusantara|58500 23951
Telecommunication Infrastructure Company|12880 48159
Compañía Paraguaya de Comunicaciones S.A.|27768 27866
Pacific Internet Singapore (formerly OSInet)|4628 136552
CSUC|13041 49638
TOP-IX|41364 25309
TierPoint|30496 17378 33251 30340 11274 19019 27467 7181 26094 7349 11383 16695 36024 17113 36284 33693
NTT Communications Corporation (OKN)|38629 4713 9598
Comcast|33664 33665 33666 33667 33668 21508 33287 11025 7725 13367 13385 33489 33490 33491 7015 7016 7922 33650 22258 33651 33652 33653 20214 33654 33655 33656 33657 33659 33660 36732 22909 33661 36733 33662
Rackspace|45187 12200 58683
Waycom International SASU|12472 30889
Rise Broadband|36049 23205 17306
Level 3 Communications, LLC|4323 32421 200 3356 3549
Internet service provider association - DRC|37414 37483
Simtronic Technologies Pty Ltd|7490 55707
Shenzhen We-Trans|59344 63971
Swisscom|6837 3303
Ingenico Solutions and Transaction Services|4896 45666 47957
RGnet, LLC|4128 3130
Highwinds Network Group, Inc|12989 33438
1&1 Versatel Deutschland GmbH|8881 13270
Sify Technologies Limited|24193 9583
BT LatAm|7908 11271
Sprint|1239 1803
TRANSATEL SA|394333 198335
CommunityRack.org|39540 44596 57118
conova communications GmbH|28838 5404
Netflix|2906 40027
Wave Net LLC|56337 31037
Pandora Media, Inc|22518 40428
CTTI|16153 39551
T-Mobile USA|3651 6167 21928 20057 22394 10507
HELP TELECOM|262996 61746
Frontiir Co. Ltd|58952 63852
myLoc managed IT AG|24961 39519
Showmax|207119 327880
Kabelplus GmbH|8339 8559
Cloud-Temple|33930 37709
Telkom USA, Inc|58944 58815
University of Vienna|1120 1853
GreenDot Ltd.|393629 27789
NAV COMMUNICATIONS SRL|43431 6718
Advanced Science and Technology Institute|9821 136028
FAMILY NET JAPAN INCORPORATED|59125 131925
The New York Times Company|40833 10893 4543
Internet Solutions|20011 3741
Telecommunication Sevice  Providers Association of Kenya - TESPOK|37704 327740 37578 37770 4558
Rogers Cable|20453 812
Avira Operations GmbH & Co. KG|203507 206970
RENATER|2200 3256
TREX Regional Exchanges Oy|29432 197032
FidoNet Registration Services Ltd|8282 9179
NexLogic Telecommunications Network Inc.|135025 135305
NDIX|206676 20828
teamix GmbH|33988 21083
ARI Registry Services|18210 134386 134387 134384 134385 134390 134391 134388 134389 134394 134395 134392 134393 58620 134398 134399 134396 134397
CENIC / CalREN|2152 2153
University System of Georgia|3479 3480
Vocus Group|18192 4610 17746 9443 9398 38809 4826 9482 38285 9822 9790
Host Europe GmbH|35329 20773
Forcepoint|35788 44444 7598
Secom, Inc|16832 394423 62741
Tilaa B.V.|196752 51787 34109
DiverseIT Pty Ltd|58612 45828
Internet Harbor|64096 56282
Golden Tiger Telecom Pvt Ltd|132561 135754
Univision Mongolia|55408 17882
Truenetwork Russia|59954 49673 57822
Micso s.r.l.|21034 205005
MWH Global Inc|62195 133366 62982 133188
I-Services Network Solution Ltd|56103 45816 55480
Individual Network Berlin e.V.|57555 29670
WOW!|12083 16724 29881
Telemach d.o.o.|12644 41828 42613 33929
GEANT Association|20965 21320
